,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363
43,crazy,think,crazy,think,could,work,remember,said,die,stupid,jump,ocean,separating,remember,fly,cant,talk,staring,window,favorite,town,new,york,city,still,babe,warned,time,say,road,get,hard,get,lost,led,blind,faith,blind,faith,might,get,away,religion,lip,even,false,god,wed,still,worship,might,get,away,altar,hip,even,false,god,wed,still,worship,love,still,worship,love,still,worship,love,know,heaven,thing,go,touch,honey,hell,fight,patch,good,make,confession,begging,forgiveness,got,wine,cant,talk,daring,leave,try,scare,west,village,still,babe,warned,time,say,road,get,hard,get,lost,led,blind,faith,blind,faith,might,also,might,get,away,religion,lip,even,false,god,wed,still,worship,might,get,away,altar,hip,even,false,god,wed,still,worship,love,wed,still,worship,love,wed,still,worship,love,still,worship,love,even,false,god,even,false,god,still,worship,love,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,think,know,footprint,sidewalk,lead,cant,stop,go,every,night,think,know,hand,around,cold,glass,make,wanna,know,body,mine,got,boyish,look,man,architect,drawing,plan,17,nobody,understands,one,understands,got,heartbeat,skipping,16th,avenue,got,mean,wanna,see,whats,attitude,want,bless,soul,aint,gotta,tell,think,know,think,know,think,know,get,alone,make,home,hell,want,stay,think,know,hed,better,lock,stick,around,good,one,never,wait,ha,got,boyish,look,man,architect,drawing,plan,he,obsessed,boy,understand,boy,understand,got,heartbeat,heartbeat,skipping,16th,avenue,got,mean,mean,wanna,see,whats,attitude,want,bless,soul,aint,gotta,tell,think,know,think,know,might,also,want,bless,want,bless,want,bless,want,bless,soul,lyrical,smile,indigo,eye,hand,thigh,could,follow,spark,drive,lyrical,smile,indigo,eye,hand,thigh,could,follow,spark,drive,gonna,go,,whisper,dark,gonna,go,,think,know,got,heartbeat,heartbeat,skipping,16th,avenue,baby,got,mean,mean,wanna,see,whats,attitude,yeah,want,bless,soul,aint,gotta,tell,think,know,think,know,want,bless,want,bless,want,bless,baby,want,bless,soul,got,heartbeat,want,bless,skipping,16th,avenue,baby,want,bless,want,bless,soul,aint,gotta,tell,think,know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,baby,weve,got,bad,blood,know,used,mad,love,take,look,done,baby,weve,got,bad,blood,hey,weve,got,problem,think,solve,em,made,really,deep,cut,baby,weve,got,bad,blood,hey,thinking,could,trusted,ruin,shiny,rusted,hit,weak,baby,breathe,rub,deep,salt,wound,laughing,right,sad,think,good,time,baby,weve,got,bad,blood,know,used,mad,love,take,look,done,baby,weve,got,bad,blood,hey,weve,got,problem,think,solve,em,made,really,deep,cut,baby,weve,got,bad,blood,hey,think,wed,fine,still,got,scar,back,knife,think,past,kind,wound,last,last,think,thing,catch,time,heal,coming,way,might,also,sad,think,good,time,baby,weve,got,bad,blood,know,used,mad,love,take,look,done,baby,weve,got,bad,blood,hey,weve,got,problem,think,solve,em,made,really,deep,cut,baby,weve,got,bad,blood,hey,bandaids,fix,bullet,hole,say,sorry,show,live,live,ghost,bandaids,fix,bullet,hole,say,sorry,show,live,live,ghost,love,blood,run,cold,baby,weve,got,bad,blood,know,used,mad,love,take,look,done,baby,weve,got,bad,blood,hey,weve,got,problem,think,solve,em,think,solve,em,made,really,deep,cut,baby,weve,got,bad,blood,hey,baby,weve,got,bad,blood,know,used,mad,love,take,look,done,look,done,baby,weve,got,bad,blood,hey,weve,got,problem,think,solve,em,made,really,deep,cut,baby,weve,got,bad,blood,hey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,nice,meet,could,show,incredible,thing,magic,madness,heaven,sin,saw,thought,god,look,face,look,next,mistake,love,game,wanna,play,,ayy,new,money,suit,tie,read,magazine,aint,funny,rumor,fly,know,heard,hey,let,friend,dying,see,one,end,grab,passport,hand,make,bad,guy,good,weekend,gonna,forever,gonna,go,flame,tell,mm,high,worth,pain,got,long,list,exlovers,theyll,tell,insane,know,love,player,love,game,young,reckless,well,take,way,far,itll,leave,breathless,mm,nasty,scar,got,long,list,exlovers,theyll,tell,insane,got,blank,space,baby,write,name,cherry,lip,crystal,sky,could,show,incredible,thing,stolen,kiss,pretty,lie,king,baby,queen,find,want,girl,month,wait,worst,yet,come,screaming,cry,perfect,storm,make,table,turn,rose,garden,filled,thorn,keep,second,guessing,god,,get,drunk,jealousy,come,back,time,leave,darling,nightmare,dressed,daydream,might,also,gonna,forever,gonna,go,flame,tell,mm,high,worth,pain,got,long,list,exlovers,theyll,tell,insane,know,love,player,love,game,young,reckless,well,take,way,far,itll,leave,breathless,mm,nasty,scar,got,long,list,exlovers,theyll,tell,insane,insane,got,blank,space,baby,write,name,boy,want,love,torture,say,say,warn,boy,want,love,torture,say,say,warn,gonna,forever,gonna,go,flame,tell,mm,high,worth,pain,got,long,list,exlovers,theyll,tell,insane,insane,know,love,player,love,game,love,game,young,reckless,yeah,well,take,way,far,itll,leave,breathless,mm,nasty,scar,nasty,scar,got,long,list,exlovers,theyll,tell,insane,got,blank,space,baby,write,name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,ii,ii,ii,stand,hand,waistline,scene,plain,sight,hear,whisper,pas,bad,sign,bad,sign,something,happens,everybody,find,see,vulture,circling,dark,cloud,love,fragile,little,flame,could,burn,could,burn,got,cage,got,box,gun,hunter,fox,run,baby,know,place,found,theyll,chasing,tail,trying,track,know,place,hide,know,place,know,place,light,flash,well,run,fence,let,say,want,hear,loose,lip,sink,ship,damn,time,time,grab,hand,ever,drop,love,hunter,fox,run,baby,know,place,found,theyll,chasing,tail,trying,track,know,place,hide,know,place,might,also,hunter,fox,run,grab,hand,ever,drop,love,baby,know,place,found,theyll,chasing,tail,trying,track,know,place,hide,know,place,take,shot,bulletproof,know,place,know,always,know,place,dead,night,eye,green,know,place,know,always,know,place,ii,ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,clear,blue,water,high,tide,came,brought,could,go,sky,grew,darker,current,swept,gone,gone,gone,gone,silent,scream,wildest,dream,never,dreamed,love,good,love,bad,love,alive,back,dead,hand,let,go,free,love,came,back,tossing,turning,struggled,night,someone,new,baby,could,go,lantern,burning,flickered,mind,still,gone,gone,gone,losing,grip,sinking,ship,showed,time,love,good,love,bad,love,alive,back,dead,hand,let,go,free,love,came,back,love,left,permanent,mark,love,glowing,dark,hand,let,go,free,love,came,back,might,also,love,love,love,love,love,love,love,love,love,love,love,love,love,love,love,love,kiss,cheek,watched,leave,smile,ghost,fell,knee,young,run,come,back,need,love,good,love,bad,love,alive,back,dead,hand,let,go,free,love,came,back,love,love,left,permanent,mark,love,love,glowing,dark,love,hand,let,go,free,love,love,came,back,love,love,love,love,love,love,love,love,love,love,love,love,love,love,came,back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,looking,seems,simple,lying,couch,remember,took,polaroid,discovered,discovered,rest,world,black,white,screaming,color,remember,thinking,wood,yet,wood,yet,wood,yet,wood,clear,yet,clear,yet,clear,yet,clear,yet,good,wood,yet,wood,yet,wood,yet,wood,clear,yet,clear,yet,clear,yet,clear,yet,good,wood,,looking,last,december,last,december,built,fall,apart,fall,back,together,back,together,necklace,hanging,neck,night,quite,forget,decided,decided,move,furniture,could,dance,baby,stood,chance,two,paper,airplane,flying,flying,flying,remember,thinking,wood,yet,wood,yet,wood,yet,wood,clear,yet,clear,yet,clear,yet,clear,yet,good,wood,yet,wood,yet,wood,yet,wood,clear,yet,clear,yet,clear,yet,clear,yet,good,wood,,might,also,remember,hit,brake,soon,twenty,stitch,hospital,room,started,cry,baby,sun,came,looking,remember,take,heat,walked,said,setting,free,monster,turned,tree,sun,came,looking,looking,looking,wood,yet,wood,yet,,wood,yet,wood,,remember,clear,yet,clear,yet,,clear,yet,clear,yet,good,remember,wood,yet,wood,yet,yeah,yeah,wood,yet,wood,clear,yet,clear,yet,say,,clear,yet,clear,yet,good,wood,yet,wood,yet,wood,yet,wood,clear,yet,yeah,clear,yet,yeah,clear,yet,clear,yet,good,clear,yet,good,wood,yet,wood,yet,wood,yet,wood,clear,yet,clear,yet,clear,yet,clear,yet,good,remember,,wood,yet,wood,yet,wood,yet,wood,clear,yet,clear,yet,clear,yet,clear,yet,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,said,let,get,town,drive,city,away,crowd,thought,heaven,cant,help,nothing,last,forever,gonna,take,he,tall,handsome,hell,he,bad,well,see,end,begin,one,condition,say,remember,standin,nice,dress,starin,sunset,babe,red,lip,rosy,cheek,say,see,even,wildest,dream,ha,wildest,dream,ha,said,one,know,hand,hair,clothes,room,voice,familiar,sound,nothin,last,forever,gettin,good,he,tall,handsome,hell,he,bad,well,weve,last,kiss,last,request,say,remember,standin,nice,dress,starin,sunset,babe,red,lip,rosy,cheek,say,see,even,wildest,dream,ha,wildest,dream,ha,might,also,see,hindsight,tangled,night,burnin,someday,leave,bet,memory,follow,around,see,hindsight,tangled,night,burnin,burnin,someday,leave,bet,memory,follow,follow,around,follow,around,say,remember,standing,nice,dress,starin,sunset,babe,red,lip,rosy,cheek,say,see,even,pretend,say,remember,standin,nice,dress,starin,sunset,babe,red,lip,rosy,cheek,say,see,even,pretend,pretend,wildest,dream,ha,wildest,dream,ha,even,wildest,dream,ha,wildest,dream,ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,walking,crowd,village,aglow,kaleidoscope,loud,heartbeat,coat,everybody,wanted,something,searching,sound,heard,said,welcome,new,york,waiting,welcome,new,york,welcome,new,york,welcome,new,york,waiting,welcome,new,york,welcome,new,york,new,soundtrack,could,dance,beat,beat,forevermore,light,bright,never,blind,welcome,new,york,waiting,welcome,new,york,welcome,new,york,first,dropped,bag,apartment,floor,took,broken,heart,put,drawer,everybody,someone,else,want,want,boy,boy,girl,girl,welcome,new,york,waiting,welcome,new,york,welcome,new,york,welcome,new,york,waiting,welcome,new,york,welcome,new,york,new,soundtrack,could,dance,beat,beat,forevermore,light,bright,never,blind,welcome,new,york,new,york,waiting,welcome,new,york,welcome,new,york,great,love,keep,guessing,real,love,everchanging,true,love,drive,crazy,know,change,anything,anything,anything,welcome,new,york,waiting,welcome,new,york,welcome,new,york,welcome,new,york,waiting,welcome,new,york,welcome,new,york,new,soundtrack,could,dance,beat,light,bright,never,blind,welcome,new,york,new,soundtrack,waiting,welcome,new,york,light,bright,never,blind,welcome,new,york,bright,never,blind,welcome,new,york,welcome,new,yorkyou,might,also,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,hey,hey,hey,hey,hey,hey,hey,hey,hey,hey,hey,hey,people,always,want,back,love,gave,away,people,wanna,believe,say,changed,think,le,know,know,drove,road,stay,hey,stay,palm,hand,whyd,go,lock,let,stay,hey,say,want,back,late,well,couldve,easy,stay,stay,stay,stay,stay,calling,know,say,picking,piece,mess,made,people,always,want,back,love,pushed,aside,people,gone,forever,say,goodbye,stay,hey,stay,palm,hand,whyd,go,lock,let,stay,hey,say,want,back,late,well,couldve,easy,stay,might,also,stay,stay,stay,stay,stay,stay,stay,let,remind,wanted,ohohoh,ended,wanted,ohohoh,stay,hey,stay,palm,hand,whyd,want,go,lock,let,stay,hey,say,want,back,late,well,couldve,easy,stay,hey,stay,palm,hand,whyd,go,lock,let,stay,hey,say,want,back,late,well,couldve,easy,stay,stay,stay,stay,stay,stay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,stay,late,got,nothin,brain,people,say,mmmmmm,people,say,mmmmmm,go,many,date,haha,cant,make,stay,least,people,say,mmmmmm,people,say,mmmmmm,keep,cruisin,cant,stop,stop,movin,got,music,mind,sayin,gonna,alright,player,gonna,play,play,play,play,play,hater,gonna,hate,hate,hate,hate,hate,baby,gonna,shake,shake,shake,shake,shake,shake,shake,heartbreaker,gonna,break,break,break,break,break,faker,gonna,fake,fake,fake,fake,fake,baby,gonna,shake,shake,shake,shake,shake,shake,shake,never,miss,beat,lightnin,foot,see,mmmmmm,see,mmmmmm,dancin,dancin,make,move,go,move,go,know,mmmmmm,know,mmmmmm,keep,cruisin,cant,stop,stop,groovin,got,music,mind,sayin,gonna,alright,might,also,player,gonna,play,play,play,play,play,hater,gonna,hate,hate,hate,hate,hate,baby,gonna,shake,shake,shake,shake,shake,shake,shake,heartbreaker,gonna,break,break,break,break,break,faker,gonna,fake,fake,fake,fake,fake,baby,gonna,shake,shake,shake,shake,shake,shake,shake,shake,shake,shake,shake,shake,shake,shake,shake,hey,hey,hey,think,gettin,liar,dirty,dirty,cheat,world,couldve,gettin,sick,beat,exman,brought,new,girlfriend,god,gonna,shake,fella,hella,good,hair,come,baby,shake,shake,shake,yeah,player,gonna,play,play,play,play,play,hater,gonna,hate,hate,hate,hate,hate,hater,gonna,hate,baby,gonna,shake,shake,shake,shake,shake,shake,shake,ha,heartbreaker,gonna,break,break,break,break,break,mmm,faker,gonna,fake,fake,fake,fake,fake,fake,fake,fake,baby,gonna,shake,shake,shake,shake,shake,shake,shake,shake,shake,shake,shake,shake,shake,shake,shake,shake,shake,shake,shake,shake,shake,shake,shake,yeah,shake,shake,shake,shake,got,shake,shake,shake,shake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,midnight,come,pick,headlight,long,drive,could,end,burning,flame,paradise,fade,view,since,even,heard,heard,tell,leave,know,exactly,lead,watch,go,round,round,time,got,james,dean,daydream,look,eye,got,red,lip,classic,thing,go,crashing,come,back,every,time,never,go,style,never,go,style,got,long,hair,slicked,back,white,tshirt,got,good,girl,faith,tight,little,skirt,go,crashing,come,back,every,time,never,go,style,never,go,style,go,cant,keep,wild,eye,road,mmm,take,home,light,he,taking,coat,mmm,yeah,say,heard,girl,girl,say,heard,true,cant,stop,thinking,bout,said,time,got,james,dean,daydream,look,eye,got,red,lip,classic,thing,go,crashing,come,back,every,time,never,go,style,never,go,style,got,long,hair,slicked,back,white,tshirt,got,good,girl,faith,tight,little,skirt,tight,little,skirt,go,crashing,come,back,every,time,never,go,style,never,go,never,go,never,go,style,might,also,take,home,ahahahahah,take,home,ahahahahah,yeah,take,home,ahahahahah,woahoh,style,got,james,dean,daydream,look,eye,got,red,lip,classic,thing,go,crashing,go,come,back,every,time,never,go,style,never,go,style,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,drought,worst,flower,wed,grown,together,died,thirst,month,month,back,forth,still,winestained,dress,cant,wear,anymore,hung,head,lost,war,sky,turned,black,perfect,storm,rain,came,pouring,drowning,could,finally,breathe,morning,gone,trace,think,finally,clean,nothing,left,butterfly,turned,dust,covered,whole,room,punched,hole,roof,let,flood,carry,away,picture,water,filled,lung,screamed,loud,one,heard,thing,rain,came,pouring,drowning,could,finally,breathe,morning,gone,trace,think,finally,clean,think,finally,clean,said,think,finally,clean,might,also,ten,month,sober,must,admit,clean,mean,miss,ten,month,older,give,clean,never,gonna,risk,drought,worst,flower,wed,grown,together,died,thirst,rain,came,pouring,drowning,could,finally,breathe,morning,gone,trace,think,finally,clean,rain,came,pouring,drowning,could,finally,breathe,morning,gone,trace,think,finally,clean,finally,clean,think,finally,clean,think,finally,clean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2,car,window,pas,street,memory,start,say,past,drive,straight,ahead,thinking,hate,still,know,never,said,wish,would,come,back,wish,never,hung,phone,wish,knew,never,forget,long,live,wish,right,right,good,wish,would,2,room,headlight,pas,window,pane,think,crooked,love,straight,line,make,want,run,hide,make,turn,right,back,around,wish,would,come,back,wish,never,hung,phone,wish,knew,never,forget,long,live,wish,right,right,good,wish,would,wish,could,go,back,remember,fighting,wish,knew,miss,much,mad,anymore,wish,right,right,good,wish,would,wish,wish,wish,wish,wish,wish,might,also,always,knew,push,button,give,everything,nothing,mad,mad,love,make,come,running,stand,back,stood,wish,would,wish,would,wish,would,wish,would,wish,would,wish,would,wish,would,wish,would,wish,wish,2,see,face,hear,voice,dark,crooked,love,straight,line,make,wanna,run,hide,made,turn,right,back,around,wish,would,come,back,wish,never,hung,phone,wish,knew,never,forget,long,live,wish,right,right,good,wish,would,wish,would,come,back,wish,never,hung,phone,wish,knew,never,forget,long,live,wish,right,right,good,wish,would,wish,could,go,back,remember,fighting,wish,knew,miss,much,mad,anymore,wish,right,right,good,wish,would,wish,wish,always,knew,push,button,give,everything,nothing,mad,mad,love,make,come,running,stand,back,stood,wish,would,wish,would,wish,would,wish,would,wish,would,wish,would,wish,would,wish,would,wish,would,wish,wish,wish,wish,wish,wish,wish,would,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,drought,worst,flower,wed,grown,together,died,thirst,month,month,back,forth,still,winestained,dress,cant,wear,anymore,hung,head,lost,war,sky,turned,black,perfect,storm,rain,came,pouring,drowning,could,finally,breathe,morning,gone,trace,think,finally,clean,nothing,left,butterfly,turned,dust,covered,whole,room,punched,hole,roof,let,flood,carry,away,picture,water,filled,lung,screamed,loud,one,heard,thing,rain,came,pouring,drowning,could,finally,breathe,morning,gone,trace,think,finally,clean,think,finally,clean,said,think,finally,clean,might,also,ten,month,sober,must,admit,clean,mean,miss,ten,month,older,give,clean,never,gonna,risk,drought,worst,flower,wed,grown,together,died,thirst,rain,came,pouring,drowning,could,finally,breathe,morning,gone,trace,think,finally,clean,rain,came,pouring,drowning,could,finally,breathe,morning,gone,trace,think,finally,clean,finally,clean,think,finally,clean,think,finally,clean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,stand,ghost,shaking,rain,rain,shell,open,door,say,insane,,say,long,six,month,afraid,tell,want,want,work,get,girl,say,want,worse,better,would,wait,forever,ever,broke,heart,put,back,together,would,wait,forever,ever,work,get,girl,girl,work,get,girl,girl,remind,used,yeahyeah,picture,frame,kiss,cheek,cheek,tell,must,lost,mind,oohooh,left,alone,never,told,work,lost,girl,say,might,also,want,worse,better,would,wait,forever,ever,ever,ever,broke,heart,put,back,together,would,wait,forever,ever,work,get,girl,girl,work,get,girl,girl,yeah,yeah,know,want,go,remind,used,picture,frame,kiss,cheek,say,want,yeahyeah,say,want,worse,better,worse,better,would,wait,forever,ever,ever,ever,broke,heart,put,back,together,want,forever,ever,would,wait,forever,ever,work,get,girl,girl,work,work,get,girl,girl,get,girl,work,work,get,girl,girl,work,get,girl,girl,work,got,girl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,state,obvious,get,perfect,fantasy,realize,love,could,ever,love,go,tell,friend,obsessive,crazy,fine,mind,say,way,hate,stupid,old,pickup,truck,never,let,drive,redneck,heartbreak,who,really,bad,lyin,watch,strike,match,wasted,time,far,concerned,another,picture,burn,there,time,tear,sittin,planning,revenge,there,nothing,stoppin,goin,best,friend,come,around,sayin,sorry,daddy,gonna,show,sorry,hate,stupid,old,pickup,truck,never,let,drive,redneck,heartbreak,who,really,bad,lyin,watch,strike,match,wasted,time,far,concerned,another,picture,burn,missing,better,keep,coming,back,around,would,bad,health,hate,stupid,old,pickup,truck,never,let,drive,redneck,heartbreak,who,really,bad,lyin,watch,strike,match,wasted,time,case,heard,really,really,hate,stupid,old,pickup,truck,never,let,drive,redneck,heartbreak,who,really,bad,lyin,watch,strike,match,wasted,time,far,concerned,another,picture,burn,might,also,burn,burn,burn,baby,burn,another,picture,burn,baby,burn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,said,way,blue,eye,shined,put,georgia,star,shame,night,said,lie,boy,chevy,truck,tendency,gettin,stuck,backroads,night,right,beside,summer,long,time,woke,find,summer,gone,think,tim,mcgraw,hope,think,favorite,song,one,danced,night,long,moon,spotlight,lake,think,happiness,hope,think,little,black,dress,think,head,chest,old,faded,blue,jean,think,tim,mcgraw,hope,think,september,saw,month,tear,thankin,god,see,box,beneath,bed,letter,never,read,three,summer,back,hard,find,little,bittersweet,lookin,back,nice,believe,think,tim,mcgraw,hope,think,favorite,song,one,danced,night,long,moon,spotlight,lake,think,happiness,hope,think,little,black,dress,think,head,chest,old,faded,blue,jean,think,tim,mcgraw,hope,think,back,first,time,since,standin,street,there,letter,left,doorstep,first,thing,read,might,also,think,tim,mcgraw,hope,think,favorite,song,someday,turn,radio,hope,take,back,place,think,happiness,hope,think,little,black,dress,think,head,chest,old,faded,blue,jean,think,tim,mcgraw,hope,think,think,mmm,said,way,blue,eye,shined,put,georgia,star,shame,night,said,lie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,know,would,find,went,looking,reason,know,read,line,baby,got,nowhere,go,tried,take,road,le,traveled,nothing,seems,work,first,time,right,ever,try,better,nobody,ever,let,still,see,aint,best,view,outside,looking,lot,lonely,place,never,outside,saw,never,knew,would,give,part,part,late,see,couldve,helped,wanted,one,notice,late,anything,ever,try,better,nobody,ever,let,still,see,aint,best,view,outside,looking,lot,lonely,place,never,outside,might,also,yeah,ever,try,better,nobody,ever,let,still,see,aint,best,view,outside,looking,lot,lonely,place,never,outside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
