Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,12,0.31,0.01,0.28649289233916314
75% Corpus,12,0.31,0.31,0.28022306246702816
75% Corpus,12,0.31,0.61,0.30332444883728926
75% Corpus,12,0.31,0.9099999999999999,0.38781794301202455
75% Corpus,12,0.31,symmetric,0.28955215466109735
75% Corpus,12,0.61,0.01,0.27709171931892973
75% Corpus,12,0.61,0.31,0.2812494192690507
75% Corpus,12,0.61,0.61,0.3058263464323914
75% Corpus,12,0.61,0.9099999999999999,0.39993227815954385
75% Corpus,12,0.61,symmetric,0.28940246361992816
75% Corpus,12,0.9099999999999999,0.01,0.26619261086630047
75% Corpus,12,0.9099999999999999,0.31,0.2874247399998007
75% Corpus,12,0.9099999999999999,0.61,0.2981823181457684
75% Corpus,12,0.9099999999999999,0.9099999999999999,0.39182090245399426
75% Corpus,12,0.9099999999999999,symmetric,0.2764773833745921
75% Corpus,12,symmetric,0.01,0.2927365135937361
75% Corpus,12,symmetric,0.31,0.2896484188205271
75% Corpus,12,symmetric,0.61,0.30096905140718117
75% Corpus,12,symmetric,0.9099999999999999,0.3551399232192371
75% Corpus,12,symmetric,symmetric,0.2774464253108492
75% Corpus,12,asymmetric,0.01,0.29655551489960746
75% Corpus,12,asymmetric,0.31,0.2965137449241793
75% Corpus,12,asymmetric,0.61,0.3383763291187181
75% Corpus,12,asymmetric,0.9099999999999999,0.3851005906181049
75% Corpus,12,asymmetric,symmetric,0.2824348194962778
75% Corpus,13,0.01,0.01,0.2674724198608676
75% Corpus,13,0.01,0.31,0.2583347893782029
75% Corpus,13,0.01,0.61,0.2515774178461908
75% Corpus,13,0.01,0.9099999999999999,0.3079994370066633
75% Corpus,13,0.01,symmetric,0.26429937010739607
75% Corpus,13,0.31,0.01,0.2662958127969501
75% Corpus,13,0.31,0.31,0.2690658465110474
75% Corpus,13,0.31,0.61,0.2718505841548889
75% Corpus,13,0.31,0.9099999999999999,0.3673338227543264
75% Corpus,13,0.31,symmetric,0.2731032560650746
75% Corpus,13,0.61,0.01,0.2667236137758672
75% Corpus,13,0.61,0.31,0.27539959100402667
75% Corpus,13,0.61,0.61,0.2861497273131621
75% Corpus,13,0.61,0.9099999999999999,0.3996870900475195
75% Corpus,13,0.61,symmetric,0.2743754081182813
75% Corpus,13,0.9099999999999999,0.01,0.2748054371479306
75% Corpus,13,0.9099999999999999,0.31,0.2689572654278202
75% Corpus,13,0.9099999999999999,0.61,0.31324949942837554
75% Corpus,13,0.9099999999999999,0.9099999999999999,0.35021926693940986
75% Corpus,13,0.9099999999999999,symmetric,0.27350405711198505
75% Corpus,13,symmetric,0.01,0.2655408701676817
75% Corpus,13,symmetric,0.31,0.25989109042847913
75% Corpus,13,symmetric,0.61,0.2568030176651802
75% Corpus,13,symmetric,0.9099999999999999,0.331536063784754
75% Corpus,13,symmetric,symmetric,0.2654275684672058
75% Corpus,13,asymmetric,0.01,0.26322636961097196
75% Corpus,13,asymmetric,0.31,0.2564195463863261
75% Corpus,13,asymmetric,0.61,0.3038181016076063
75% Corpus,13,asymmetric,0.9099999999999999,0.36911152437022055
75% Corpus,13,asymmetric,symmetric,0.27116859743416166
75% Corpus,14,0.01,0.01,0.2718801895518769
75% Corpus,14,0.01,0.31,0.27908489946845316
75% Corpus,14,0.01,0.61,0.27746668007276454
75% Corpus,14,0.01,0.9099999999999999,0.3197327296895693
75% Corpus,14,0.01,symmetric,0.2810282083507304
75% Corpus,14,0.31,0.01,0.2753383042360426
75% Corpus,14,0.31,0.31,0.27108944505166743
75% Corpus,14,0.31,0.61,0.3084774441981314
75% Corpus,14,0.31,0.9099999999999999,0.33361318900729625
75% Corpus,14,0.31,symmetric,0.27181655894830425
75% Corpus,14,0.61,0.01,0.2760443587689635
75% Corpus,14,0.61,0.31,0.26649212459074517
75% Corpus,14,0.61,0.61,0.3262595503984706
75% Corpus,14,0.61,0.9099999999999999,0.2959142009373341
75% Corpus,14,0.61,symmetric,0.2728954503161173
75% Corpus,14,0.9099999999999999,0.01,0.27415783531219506
75% Corpus,14,0.9099999999999999,0.31,0.27197884065199884
75% Corpus,14,0.9099999999999999,0.61,0.3253632746304502
75% Corpus,14,0.9099999999999999,0.9099999999999999,0.29464870585014985
75% Corpus,14,0.9099999999999999,symmetric,0.27759227912018675
75% Corpus,14,symmetric,0.01,0.2718801895518769
75% Corpus,14,symmetric,0.31,0.2738324465130186
75% Corpus,14,symmetric,0.61,0.2807332445074994
75% Corpus,14,symmetric,0.9099999999999999,0.3406014756304559
75% Corpus,14,symmetric,symmetric,0.2741706446622128
75% Corpus,14,asymmetric,0.01,0.27889411574623013
75% Corpus,14,asymmetric,0.31,0.30017844874719307
75% Corpus,14,asymmetric,0.61,0.3025429751643887
75% Corpus,14,asymmetric,0.9099999999999999,0.4239334890253704
75% Corpus,14,asymmetric,symmetric,0.27790195835030523
75% Corpus,15,0.01,0.01,0.2633567584747881
75% Corpus,15,0.01,0.31,0.28402336280752594
75% Corpus,15,0.01,0.61,0.3002109124032009
75% Corpus,15,0.01,0.9099999999999999,0.29504079369759206
75% Corpus,15,0.01,symmetric,0.26639636562837915
75% Corpus,15,0.31,0.01,0.2669528951636604
75% Corpus,15,0.31,0.31,0.26166401040268605
75% Corpus,15,0.31,0.61,0.3059520803939642
75% Corpus,15,0.31,0.9099999999999999,0.38471468284834753
75% Corpus,15,0.31,symmetric,0.27399492980656087
75% Corpus,15,0.61,0.01,0.27919845808081545
75% Corpus,15,0.61,0.31,0.2622677667067926
75% Corpus,15,0.61,0.61,0.32460781425710744
75% Corpus,15,0.61,0.9099999999999999,0.29931270107981106
75% Corpus,15,0.61,symmetric,0.27834726373604585
75% Corpus,15,0.9099999999999999,0.01,0.28295871933942734
75% Corpus,15,0.9099999999999999,0.31,0.288239546354367
75% Corpus,15,0.9099999999999999,0.61,0.32402905703174156
75% Corpus,15,0.9099999999999999,0.9099999999999999,0.3052485500920893
75% Corpus,15,0.9099999999999999,symmetric,0.27782281002139336
75% Corpus,15,symmetric,0.01,0.2629754675222635
75% Corpus,15,symmetric,0.31,0.27892307156133145
75% Corpus,15,symmetric,0.61,0.30599026350311914
75% Corpus,15,symmetric,0.9099999999999999,0.29963342705214674
75% Corpus,15,symmetric,symmetric,0.2681242164057098
75% Corpus,15,asymmetric,0.01,0.2674554946798817
75% Corpus,15,asymmetric,0.31,0.2798421154202302
75% Corpus,15,asymmetric,0.61,0.32490578758954325
75% Corpus,15,asymmetric,0.9099999999999999,0.37705479407306614
75% Corpus,15,asymmetric,symmetric,0.27603126711790593
75% Corpus,16,0.01,0.01,0.291079428820065
75% Corpus,16,0.01,0.31,0.29934642519265986
75% Corpus,16,0.01,0.61,0.3399327492211981
75% Corpus,16,0.01,0.9099999999999999,0.44362997713079955
75% Corpus,16,0.01,symmetric,0.2864991709786002
75% Corpus,16,0.31,0.01,0.2964344776344995
75% Corpus,16,0.31,0.31,0.29721076191205426
75% Corpus,16,0.31,0.61,0.35094584606485557
75% Corpus,16,0.31,0.9099999999999999,0.42752542152642536
75% Corpus,16,0.31,symmetric,0.29289294888667683
75% Corpus,16,0.61,0.01,0.2995525687366978
75% Corpus,16,0.61,0.31,0.3140482818547332
75% Corpus,16,0.61,0.61,0.39072980720562334
75% Corpus,16,0.61,0.9099999999999999,0.33718426161006376
75% Corpus,16,0.61,symmetric,0.30782446112033457
75% Corpus,16,0.9099999999999999,0.01,0.2896697618930006
75% Corpus,16,0.9099999999999999,0.31,0.3025225678648449
75% Corpus,16,0.9099999999999999,0.61,0.3199461210712836
75% Corpus,16,0.9099999999999999,0.9099999999999999,0.2856387604178563
75% Corpus,16,0.9099999999999999,symmetric,0.30614622743513115
75% Corpus,16,symmetric,0.01,0.2882436543326494
75% Corpus,16,symmetric,0.31,0.3026101524439737
75% Corpus,16,symmetric,0.61,0.3555945538126244
75% Corpus,16,symmetric,0.9099999999999999,0.4440887740555452
75% Corpus,16,symmetric,symmetric,0.28206358021517497
75% Corpus,16,asymmetric,0.01,0.30258634732545203
75% Corpus,16,asymmetric,0.31,0.3170424918298653
75% Corpus,16,asymmetric,0.61,0.3678086339131589
75% Corpus,16,asymmetric,0.9099999999999999,0.45247724017762825
75% Corpus,16,asymmetric,symmetric,0.2938007373173994
75% Corpus,17,0.01,0.01,0.2755268435610024
75% Corpus,17,0.01,0.31,0.28219979425530556
75% Corpus,17,0.01,0.61,0.27243533480281756
75% Corpus,17,0.01,0.9099999999999999,0.33611190722764184
75% Corpus,17,0.01,symmetric,0.28538389488330784
75% Corpus,17,0.31,0.01,0.27399599013685516
75% Corpus,17,0.31,0.31,0.29029907412280825
75% Corpus,17,0.31,0.61,0.3298771667727428
75% Corpus,17,0.31,0.9099999999999999,0.3707176207261788
75% Corpus,17,0.31,symmetric,0.27496781904601864
75% Corpus,17,0.61,0.01,0.2736025264014299
75% Corpus,17,0.61,0.31,0.27560805718647563
75% Corpus,17,0.61,0.61,0.3720359094022934
75% Corpus,17,0.61,0.9099999999999999,0.31870784984732387
75% Corpus,17,0.61,symmetric,0.270784035033339
75% Corpus,17,0.9099999999999999,0.01,0.2772086790496106
75% Corpus,17,0.9099999999999999,0.31,0.2720369988948412
75% Corpus,17,0.9099999999999999,0.61,0.37198143306840004
75% Corpus,17,0.9099999999999999,0.9099999999999999,0.34937578450996254
75% Corpus,17,0.9099999999999999,symmetric,0.2769761513780734
75% Corpus,17,symmetric,0.01,0.2772937904376741
75% Corpus,17,symmetric,0.31,0.2781051019940886
75% Corpus,17,symmetric,0.61,0.2783479748734217
75% Corpus,17,symmetric,0.9099999999999999,0.3176760364443976
75% Corpus,17,symmetric,symmetric,0.28577843682017634
75% Corpus,17,asymmetric,0.01,0.2852443410014629
75% Corpus,17,asymmetric,0.31,0.31491242231621563
75% Corpus,17,asymmetric,0.61,0.3261407879314694
75% Corpus,17,asymmetric,0.9099999999999999,0.46759499471017313
75% Corpus,17,asymmetric,symmetric,0.28170001099868575
75% Corpus,18,0.01,0.01,0.2821018134177069
75% Corpus,18,0.01,0.31,0.31852811170728595
75% Corpus,18,0.01,0.61,0.33559629306681854
75% Corpus,18,0.01,0.9099999999999999,0.3682588880303005
75% Corpus,18,0.01,symmetric,0.2829946832682803
75% Corpus,18,0.31,0.01,0.28787761046965116
75% Corpus,18,0.31,0.31,0.2900746231312549
75% Corpus,18,0.31,0.61,0.35938987977792214
75% Corpus,18,0.31,0.9099999999999999,0.37188250717580223
75% Corpus,18,0.31,symmetric,0.28377940656603934
75% Corpus,18,0.61,0.01,0.28534434761770583
75% Corpus,18,0.61,0.31,0.2922510310782592
75% Corpus,18,0.61,0.61,0.38641776314283116
75% Corpus,18,0.61,0.9099999999999999,0.3599395486608656
75% Corpus,18,0.61,symmetric,0.2749875493015387
75% Corpus,18,0.9099999999999999,0.01,0.28281350588211324
75% Corpus,18,0.9099999999999999,0.31,0.29998144559876927
75% Corpus,18,0.9099999999999999,0.61,0.4087240667022192
75% Corpus,18,0.9099999999999999,0.9099999999999999,0.40629651689236196
75% Corpus,18,0.9099999999999999,symmetric,0.28237532966244294
75% Corpus,18,symmetric,0.01,0.28517262141690036
75% Corpus,18,symmetric,0.31,0.31337494871189164
75% Corpus,18,symmetric,0.61,0.3585586940186264
75% Corpus,18,symmetric,0.9099999999999999,0.3931187594558559
75% Corpus,18,symmetric,symmetric,0.2844618131531622
75% Corpus,18,asymmetric,0.01,0.2806780009237807
75% Corpus,18,asymmetric,0.31,0.3110752750406409
75% Corpus,18,asymmetric,0.61,0.34037059367254785
75% Corpus,18,asymmetric,0.9099999999999999,0.3269571350714278
75% Corpus,18,asymmetric,symmetric,0.27872135497844036
75% Corpus,19,0.01,0.01,0.27991854522904686
75% Corpus,19,0.01,0.31,0.289327204248825
75% Corpus,19,0.01,0.61,0.2818537034863824
75% Corpus,19,0.01,0.9099999999999999,0.3382890536080293
75% Corpus,19,0.01,symmetric,0.29637269768902774
75% Corpus,19,0.31,0.01,0.2918677528139713
75% Corpus,19,0.31,0.31,0.28152084964500734
75% Corpus,19,0.31,0.61,0.29597164901395295
75% Corpus,19,0.31,0.9099999999999999,0.35859763360875
75% Corpus,19,0.31,symmetric,0.29760933331829154
